latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,temp,wind_speed,description,humidity,500m 16 days NDVI,500m 16 days EVI,500m 16 days VI Quality,500m 16 days red reflectance,500m 16 days NIR reflectance,500m 16 days blue reflectance,500m 16 days MIR reflectance,500m 16 days view zenith angle,500m 16 days sun zenith angle,500m 16 days relative azimuth angle,500m 16 days composite day of the year,500m 16 days pixel reliability
43.5023,5.1921,300.1,1.0,1.0,2023-01-03,2113,Terra,MODIS,18,61.03,279.3,8.1,N,2,22.0,1.5,Broken clouds,88,394,268,18453,2413,2611,3024,393,799,7515,-5869,355,2
43.4455,4.891,314.6,1.1,1.0,2023-01-05,1301,Aqua,MODIS,57,61.03,288.6,15.2,D,2,22.0,1.5,Clear sky,94,55,42,18453,3150,3185,3826,300,799,7515,-5869,355,2
51.0455,2.3011,309.0,1.0,1.0,2023-01-10,208,Aqua,MODIS,76,61.03,279.2,13.2,N,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
43.4515,4.9015,301.3,1.4,1.2,2023-01-10,1001,Terra,MODIS,40,61.03,282.2,11.1,D,2,22.0,1.5,Clear sky,94,55,42,18453,3150,3185,3826,300,799,7515,-5869,355,2
51.0505,2.3189,302.3,1.0,1.0,2023-01-11,1040,Terra,MODIS,0,61.03,274.3,8.3,D,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
43.8902,-0.303,304.3,1.1,1.0,2023-01-12,1304,Aqua,MODIS,55,61.03,284.5,8.6,D,0,16.2,2.3543553,Clear sky,82,46,48,4378,7246,7313,8186,3857,5849,7308,11725,1,3
43.7405,5.2287,303.8,1.0,1.0,2023-01-13,1026,Terra,MODIS,57,61.03,278.3,9.9,D,0,19.3,0.16065317,Clear sky,92,394,268,18453,2413,2611,3024,393,799,7515,-5869,355,2
51.0413,2.2897,301.4,1.1,1.1,2023-01-13,2134,Terra,MODIS,41,61.03,275.1,10.0,N,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
43.4441,4.8996,303.4,1.1,1.1,2023-01-15,1010,Terra,MODIS,42,61.03,279.5,9.7,D,2,22.0,1.5,Clear sky,94,55,42,18453,3150,3185,3826,300,799,7515,-5869,355,2
49.4819,0.244,300.2,1.8,1.3,2023-01-18,254,Aqua,MODIS,19,61.03,267.3,23.1,N,2,13.7,1.6023543,Scattered clouds,86,87,80,2066,4949,5036,5382,2789,258,7471,-5385,2,3
51.0456,2.2956,311.6,1.1,1.0,2023-01-18,1033,Terra,MODIS,0,61.03,277.5,15.7,D,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
42.4085,2.6332,301.2,1.0,1.0,2023-01-19,1306,Aqua,MODIS,45,61.03,279.8,8.1,D,0,15.1,0.7625346,Broken clouds,95,35,35,2330,6496,6542,7556,3554,5849,7309,11779,1,3
42.4101,2.6452,309.0,1.0,1.0,2023-01-19,1306,Aqua,MODIS,68,61.03,279.0,13.0,D,0,15.1,0.7625346,Broken clouds,95,35,35,2330,6496,6542,7556,3554,5849,7309,11779,1,3
51.035,2.2789,301.6,1.2,1.1,2023-01-26,1311,Aqua,MODIS,36,61.03,281.5,9.6,D,2,16.7,3.833234,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
51.0369,2.2962,302.9,1.2,1.1,2023-01-26,1311,Aqua,MODIS,41,61.03,281.7,10.4,D,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
43.4474,4.8929,306.4,1.0,1.0,2023-01-27,2119,Terra,MODIS,68,61.03,272.7,12.5,N,2,22.0,1.5,Clear sky,94,55,42,18453,3150,3185,3826,300,799,7515,-5869,355,2
43.7502,6.0212,313.5,1.0,1.0,2023-01-30,1243,Aqua,MODIS,70,61.03,279.8,15.8,D,0,17.7,0.308534,Clear sky,96,649,580,4378,4090,4658,4749,1869,5675,7350,11561,354,3
43.7532,5.981,306.9,1.0,1.0,2023-01-30,1243,Aqua,MODIS,61,61.03,279.6,11.1,D,0,17.7,0.308534,Clear sky,96,649,580,4378,4090,4658,4749,1869,5675,7350,11561,354,3
44.4009,6.0295,309.7,1.0,1.0,2023-01-30,1243,Aqua,MODIS,64,61.03,275.7,13.0,D,0,16.2,0.6989443,Clear sky,86,1393,960,51229,2124,2812,2601,157,781,7513,-5929,355,2
44.4097,6.0266,301.6,1.0,1.0,2023-01-30,1243,Aqua,MODIS,22,61.03,276.6,7.3,D,0,16.3,1.1448383,Clear sky,85,1393,960,51229,2124,2812,2601,157,781,7513,-5929,355,2
43.6917,5.8292,301.2,1.0,1.0,2023-01-30,1243,Aqua,MODIS,45,61.03,278.8,8.1,D,0,17.8,0.6321766,Clear sky,95,319,282,18453,4194,4471,4314,528,799,7515,-5869,355,2
51.0464,2.2996,309.8,1.1,1.0,2023-01-30,1245,Aqua,MODIS,0,61.03,280.8,11.8,D,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
44.4953,3.8829,315.0,3.6,1.8,2023-01-31,1118,Terra,MODIS,63,61.03,275.4,109.2,D,0,13.0,2.8075283,Overcast clouds,84,247,257,35106,6769,7113,7513,4081,5860,7308,11778,1,3
44.5015,3.879,313.3,3.6,1.8,2023-01-31,1118,Terra,MODIS,58,61.03,275.0,105.6,D,0,13.0,2.8075283,Overcast clouds,84,247,257,35106,6769,7113,7513,4081,5860,7308,11778,1,3
43.7763,6.9871,300.2,1.1,1.0,2023-02-01,1021,Terra,MODIS,31,61.03,282.3,6.9,D,0,18.3,1.79968,Clear sky,80,982,718,51229,2523,3073,2904,237,781,7514,-5863,355,2
43.7459,7.0573,303.0,1.1,1.0,2023-02-01,1021,Terra,MODIS,54,61.03,280.7,8.1,D,0,18.9,1.9233633,Clear sky,81,982,718,51229,2523,3073,2904,237,781,7514,-5863,355,2
42.9589,2.9851,307.1,1.1,1.0,2023-02-02,1312,Aqua,MODIS,56,61.03,286.5,10.6,D,0,19.1,8.627183,Broken clouds,57,35,35,2330,6496,6542,7556,3554,5849,7309,11779,1,3
43.4421,4.9003,300.2,1.3,1.1,2023-02-02,1312,Aqua,MODIS,0,61.03,287.9,6.9,D,2,22.0,1.5,Clear sky,94,55,42,18453,3150,3185,3826,300,799,7515,-5869,355,2
44.0844,6.4324,304.9,1.1,1.0,2023-02-03,1005,Terra,MODIS,57,61.03,287.2,9.8,D,0,13.2,0.90709794,Clear sky,79,663,583,2330,3924,4482,5112,1691,5675,7350,11626,354,3
44.0828,6.4452,305.0,1.1,1.0,2023-02-03,1005,Terra,MODIS,60,61.03,285.5,10.0,D,0,13.2,0.90709794,Clear sky,79,663,583,2330,3924,4482,5112,1691,5675,7350,11626,354,3
42.7027,2.7427,303.0,4.0,1.9,2023-02-03,1354,Aqua,MODIS,54,61.03,291.7,35.1,D,0,20.4,3.6,Clear sky,67,428,387,4114,4365,4756,4606,756,827,7516,-5876,355,3
42.6968,2.7521,303.5,4.0,1.9,2023-02-03,1354,Aqua,MODIS,56,61.03,291.7,37.1,D,0,20.4,3.6,Clear sky,67,428,387,4114,4365,4756,4606,756,827,7516,-5876,355,3
42.5619,2.5421,326.4,1.3,1.1,2023-02-03,2112,Terra,MODIS,100,61.03,280.2,44.0,N,0,14.0,0.5617115,Scattered clouds,93,35,35,2330,6496,6542,7556,3554,5849,7309,11779,1,3
42.5652,2.5598,308.0,1.3,1.1,2023-02-03,2112,Terra,MODIS,73,61.03,278.0,18.3,N,0,14.0,0.5617115,Scattered clouds,93,35,35,2330,6496,6542,7556,3554,5849,7309,11779,1,3
43.0067,-0.2774,301.2,1.2,1.1,2023-02-04,1259,Aqua,MODIS,45,61.03,283.5,10.6,D,0,11.2,0.63736296,Clear sky,99,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
43.4446,4.9018,302.3,1.1,1.0,2023-02-06,1245,Aqua,MODIS,0,61.03,286.5,6.5,D,2,22.0,1.5,Clear sky,94,55,42,18453,3150,3185,3826,300,799,7515,-5869,355,2
44.7818,4.4277,309.7,1.1,1.0,2023-02-06,1246,Aqua,MODIS,69,61.03,275.9,12.7,D,0,15.1,1.6923423,Clear sky,94,541,482,51229,4137,4611,4301,407,790,7513,-5931,355,2
51.0322,2.2852,303.9,1.0,1.0,2023-02-06,1247,Aqua,MODIS,20,61.03,284.8,7.0,D,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
51.0433,2.2958,315.5,1.0,1.0,2023-02-06,1247,Aqua,MODIS,0,61.03,283.4,15.8,D,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
51.0331,2.2864,304.1,1.6,1.2,2023-02-07,1110,Terra,MODIS,44,61.03,280.4,17.4,D,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
51.0278,2.2685,303.2,1.3,1.1,2023-02-08,1234,Aqua,MODIS,52,61.03,281.3,11.5,D,2,14.9,2.4281082,Broken clouds,90,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
51.0427,2.2982,301.0,1.0,1.0,2023-02-08,2123,Terra,MODIS,35,61.03,273.8,9.1,N,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
43.9795,-0.9113,313.2,1.1,1.0,2023-02-09,1056,Terra,MODIS,69,61.03,281.4,17.2,D,0,16.2,0.8492311,Overcast clouds,93,181,172,51489,5251,5445,5500,518,844,7515,-6004,355,2
42.9967,-0.3829,334.9,1.2,1.1,2023-02-09,1056,Terra,MODIS,89,61.03,281.1,50.9,D,0,11.4,0.8154211,Overcast clouds,98,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
43.113,-1.2079,322.5,1.0,1.0,2023-02-09,1314,Aqua,MODIS,82,61.03,287.6,22.9,D,0,14.0,0.4547808,Light rain,87,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1149,-1.1956,301.0,1.0,1.0,2023-02-09,1314,Aqua,MODIS,42,61.03,285.0,6.0,D,0,14.0,0.4547808,Light rain,87,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
42.9157,-0.5757,306.6,2.8,1.6,2023-02-10,1357,Aqua,MODIS,46,61.03,280.9,45.3,D,0,11.1,0.49698222,Drizzle,99,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
43.0771,-1.1247,306.0,2.6,1.5,2023-02-10,1357,Aqua,MODIS,48,61.03,282.2,31.1,D,0,11.5,0.3872727,Drizzle,95,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.0911,-1.1247,307.8,2.6,1.5,2023-02-10,1357,Aqua,MODIS,66,61.03,281.5,37.3,D,0,11.5,0.3872727,Drizzle,95,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
