latitude,longitude,acq_date,temp,wind_speed,description,humidity
43.5023,5.1921,2023-01-03,22,1.5,Broken clouds,88
43.4455,4.891,2023-01-05,22,1.5,Clear sky,94
51.0455,2.3011,2023-01-10,16.8,3.6651642,Broken clouds,83
43.4515,4.9015,2023-01-10,22,1.5,Clear sky,94
51.0505,2.3189,2023-01-11,16.8,3.6651642,Broken clouds,83
43.8902,-0.303,2023-01-12,16.2,2.3543553,Clear sky,82
43.7405,5.2287,2023-01-13,19.3,0.16065317,Clear sky,92
51.0413,2.2897,2023-01-13,16.8,3.6651642,Broken clouds,83
43.4441,4.8996,2023-01-15,22,1.5,Clear sky,94
49.4819,0.244,2023-01-18,13.7,1.6023543,Scattered clouds,86
51.0456,2.2956,2023-01-18,16.8,3.6651642,Broken clouds,83
42.4085,2.6332,2023-01-19,15.1,0.7625346,Broken clouds,95
42.4101,2.6452,2023-01-19,15.1,0.7625346,Broken clouds,95
51.035,2.2789,2023-01-26,16.7,3.833234,Broken clouds,83
51.0369,2.2962,2023-01-26,16.8,3.6651642,Broken clouds,83
43.4474,4.8929,2023-01-27,22,1.5,Clear sky,94
43.7502,6.0212,2023-01-30,17.7,0.308534,Clear sky,96
43.7532,5.981,2023-01-30,17.7,0.308534,Clear sky,96
44.4009,6.0295,2023-01-30,16.2,0.6989443,Clear sky,86
44.4097,6.0266,2023-01-30,16.3,1.1448383,Clear sky,85
43.6917,5.8292,2023-01-30,17.8,0.6321766,Clear sky,95
51.0464,2.2996,2023-01-30,16.8,3.6651642,Broken clouds,83
44.4953,3.8829,2023-01-31,13,2.8075283,Overcast clouds,84
44.5015,3.879,2023-01-31,13,2.8075283,Overcast clouds,84
43.7763,6.9871,2023-02-01,18.3,1.79968,Clear sky,80
43.7459,7.0573,2023-02-01,18.9,1.9233633,Clear sky,81
42.9589,2.9851,2023-02-02,19.1,8.627183,Broken clouds,57
43.4421,4.9003,2023-02-02,22,1.5,Clear sky,94
44.0844,6.4324,2023-02-03,13.2,0.90709794,Clear sky,79
44.0828,6.4452,2023-02-03,13.2,0.90709794,Clear sky,79
42.7027,2.7427,2023-02-03,20.4,3.6,Clear sky,67
42.6968,2.7521,2023-02-03,20.4,3.6,Clear sky,67
42.5619,2.5421,2023-02-03,14,0.5617115,Scattered clouds,93
42.5652,2.5598,2023-02-03,14,0.5617115,Scattered clouds,93
43.0067,-0.2774,2023-02-04,11.2,0.63736296,Clear sky,99
43.4446,4.9018,2023-02-06,22,1.5,Clear sky,94
44.7818,4.4277,2023-02-06,15.1,1.6923423,Clear sky,94
51.0322,2.2852,2023-02-06,16.8,3.6651642,Broken clouds,83
51.0433,2.2958,2023-02-06,16.8,3.6651642,Broken clouds,83
51.0331,2.2864,2023-02-07,16.8,3.6651642,Broken clouds,83
51.0278,2.2685,2023-02-08,14.9,2.4281082,Broken clouds,90
51.0427,2.2982,2023-02-08,16.8,3.6651642,Broken clouds,83
43.9795,-0.9113,2023-02-09,16.2,0.8492311,Overcast clouds,93
42.9967,-0.3829,2023-02-09,11.4,0.8154211,Overcast clouds,98
43.113,-1.2079,2023-02-09,14,0.4547808,Light rain,87
43.1149,-1.1956,2023-02-09,14,0.4547808,Light rain,87
42.9157,-0.5757,2023-02-10,11.1,0.49698222,Drizzle,99
43.0771,-1.1247,2023-02-10,11.5,0.3872727,Drizzle,95
43.0911,-1.1247,2023-02-10,11.5,0.3872727,Drizzle,95
